,train_rank,train_rank,train_rank,train_rank,train_rank
,mean,std,min,max,range
chemical_class,,,,,
glycerophosphoinositol,4.0,,4.0,4.0,0.0
glycerophospholipid,19.0,,19.0,19.0,0.0
glycolipid,101.0,,101.0,101.0,0.0
glycosphingolipid,162.0,,162.0,162.0,0.0
guaiacols,229.0,,229.0,229.0,0.0
hexose,80.0,,80.0,80.0,0.0
hydroxy fatty acid,132.0,,132.0,132.0,0.0
icosanoid,35.0,,35.0,35.0,0.0
indole alkaloid,213.0,,213.0,213.0,0.0
inositol phosphoceramide,17.0,,17.0,17.0,0.0
isoflavones,206.0,,206.0,206.0,0.0
isoflavonoid,146.0,,146.0,146.0,0.0
lactol,239.0,,239.0,239.0,0.0
limonoid,92.0,,92.0,92.0,0.0
lipid hydroperoxide,24.0,,24.0,24.0,0.0
lipopeptide,220.0,,220.0,220.0,0.0
long-chain fatty acid,46.0,,46.0,46.0,0.0
long-chain fatty acyl-CoA,117.0,,117.0,117.0,0.0
long-chain fatty acyl-CoA(4-),106.0,,106.0,106.0,0.0
long-chain fatty alcohol,128.0,,128.0,128.0,0.0
macrolide,55.0,,55.0,55.0,0.0
macromolecule,119.0,,119.0,119.0,0.0
medium-chain fatty acyl-CoA,159.0,,159.0,159.0,0.0
metal atom,14.0,,14.0,14.0,0.0
methyl sulfide,192.0,,192.0,192.0,0.0
methyl-branched fatty acid,200.0,,200.0,200.0,0.0
monoacylglycerol,37.0,,37.0,37.0,0.0
monocarboxylic acid anion,42.0,,42.0,42.0,0.0
monoradylglycerol,39.0,,39.0,39.0,0.0
monosaccharide,89.0,,89.0,89.0,0.0
monoterpenoid,182.0,,182.0,182.0,0.0
monoterpenoid indole alkaloid,185.0,,185.0,185.0,0.0
monounsaturated fatty acid,136.0,,136.0,136.0,0.0
monounsaturated fatty acyl-CoA,105.0,,105.0,105.0,0.0
nitrile,150.0,,150.0,150.0,0.0
non-proteinogenic amino acid,113.0,,113.0,113.0,0.0
nucleoside,67.0,,67.0,67.0,0.0
nucleoside 5'-phosphate,175.0,,175.0,175.0,0.0
nucleoside phosphate,64.0,,64.0,64.0,0.0
nucleotide,199.0,,199.0,199.0,0.0
olefinic fatty acid,164.0,,164.0,164.0,0.0
oligopeptide,134.0,,134.0,134.0,0.0
oligosaccharide,130.0,,130.0,130.0,0.0
omega-hydroxy fatty acid,58.0,,58.0,58.0,0.0
organic sulfide,179.0,,179.0,179.0,0.0
organobromine compound,166.0,,166.0,166.0,0.0
organochlorine compound,133.0,,133.0,133.0,0.0
organofluorine compound,158.0,,158.0,158.0,0.0
organohalogen compound,155.0,,155.0,155.0,0.0
organoiodine compound,102.0,,102.0,102.0,0.0
oxo fatty acid,163.0,,163.0,163.0,0.0
penicillin,40.0,,40.0,40.0,0.0
peptide antibiotic,232.0,,232.0,232.0,0.0
phenylpropanoid,208.0,,208.0,208.0,0.0
phosphatidic acid,16.0,,16.0,16.0,0.0
phosphatidyl-L-serine,9.0,,9.0,9.0,0.0
phosphatidylcholine,7.0,,7.0,7.0,0.0
phosphatidylethanolamine,18.0,,18.0,18.0,0.0
phosphatidylglycerol,10.0,,10.0,10.0,0.0
phosphatidylinositol,15.0,,15.0,15.0,0.0
phospho sugar,203.0,,203.0,203.0,0.0
polyamine,181.0,,181.0,181.0,0.0
polychlorinated dibenzodioxines and related compounds,22.0,,22.0,22.0,0.0
polycyclic arene,71.0,,71.0,71.0,0.0
polypeptide,107.0,,107.0,107.0,0.0
polyphenol,211.0,,211.0,211.0,0.0
polyprenol phosphate,20.0,,20.0,20.0,0.0
polypyrrole,160.0,,160.0,160.0,0.0
polysaccharide,59.0,,59.0,59.0,0.0
polyunsaturated fatty acid,65.0,,65.0,65.0,0.0
porphyrins,110.0,,110.0,110.0,0.0
primary alcohol,186.0,,186.0,186.0,0.0
primary amine,238.0,,238.0,238.0,0.0
proanthocyanidin,118.0,,118.0,118.0,0.0
prostaglandin,191.0,,191.0,191.0,0.0
pterocarpans,165.0,,165.0,165.0,0.0
pyrroline,170.0,,170.0,170.0,0.0
quaternary ammonium ion,27.0,,27.0,27.0,0.0
quinone,78.0,,78.0,78.0,0.0
ribonucleoside,176.0,,176.0,176.0,0.0
saccharolipid,196.0,,196.0,196.0,0.0
saturated fatty acid,147.0,,147.0,147.0,0.0
secondary alcohol,198.0,,198.0,198.0,0.0
secondary alpha-hydroxy ketone,188.0,,188.0,188.0,0.0
semisynthetic derivative,243.0,,243.0,243.0,0.0
sesquiterpenoid,142.0,,142.0,142.0,0.0
sesterterpenoid,233.0,,233.0,233.0,0.0
short-chain fatty acid,77.0,,77.0,77.0,0.0
sphingoid,168.0,,168.0,168.0,0.0
sphingomyelin,43.0,,43.0,43.0,0.0
