,attempt,num_true_positives,num_false_positives,num_true_negatives,num_false_negatives,precision,recall,f1,accuracy,negative_predictive_value,train_f1,train_precision,train_accuracy,train_attempt,num_train_examples,lines_of_code,log_lines_of_code,max_indent,imports_count,methods_called_count,smarts_strings_count,defs_count,returns_count,complexity,log_num_train_examples
count,343.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,343.0,343.0,343.0,343.0,343.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,343.0
mean,0.0,67.8475073313783,339.22873900293257,35146.92961876833,20.994134897360702,0.39640310529895467,0.7564438967565805,0.45178610196944696,0.9898742691805961,0.9993914121646329,0.47320816065891064,0.41755459743003687,0.9895194414329554,2.2128279883381925,354.4927113702624,49.01754385964912,3.8167597271722573,3.175438596491228,2.1403508771929824,7.649122807017544,3.3333333333333335,1.0701754385964912,7.9298245614035086,4.728264226136205,2.11120896461799
std,0.0,133.315063250019,1049.6473835900906,1106.959413027748,52.41205486251384,0.3113094295995546,0.26550527254504286,0.2955990316020207,0.02978132978841676,0.0015263481515480702,0.2890347403433068,0.3089756560586488,0.02997362392861752,1.4803424971681265,650.953604880528,18.2995815995009,0.4051608290032057,1.7435883260180902,0.8332080106266568,3.593104646751367,3.1358146203711295,0.3195783562986335,3.1274113503640617,1.416801852077637,0.57957802039964
min,0.0,0.0,0.0,20753.0,0.0,0.0,0.0,0.0,0.5947997189037245,0.989025384257103,0.0014045930191726949,0.000703358537014243,0.6763754045307443,0.0,23.0,18.0,2.8903717578961645,2.0,1.0,3.0,0.0,1.0,3.0,2.378074351579233,1.3617278360175928
25%,0.0,7.0,8.0,35158.0,1.0,0.12282734646581692,0.5909090909090909,0.2068965517241379,0.9916514406184118,0.9996043297628805,0.21828621342453564,0.13682772872824742,0.9916022487702039,1.0,42.5,36.0,3.58351893845611,2.0,1.0,5.0,1.0,1.0,5.0,3.473459165997295,1.6283588729887435
50%,0.0,16.0,41.0,35493.0,4.0,0.3333333333333333,0.864406779661017,0.43478260869565216,0.998510189739986,0.9998875330371704,0.45204178537511874,0.3541666666666667,0.9984188334504568,2.0,92.0,47.0,3.8501476017100584,2.0,2.0,7.0,3.0,1.0,8.0,4.916703787691222,1.9637878273455551
75%,0.0,68.0,240.0,35548.0,14.0,0.6437346437346437,0.9989059080962801,0.706422018348624,0.9996626844694307,0.9999718887920614,0.72481884057971,0.6653338664534186,0.9996661981728742,3.0,329.5,63.0,4.143134726391533,4.0,3.0,10.0,4.0,1.0,10.0,5.794058382710424,2.5178549189139305
max,0.0,913.0,14363.0,35573.0,384.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3910.0,90.0,4.499809670330265,10.0,3.0,20.0,18.0,3.0,16.0,7.863497622707262,3.5921767573958667
